image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_1,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_2,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_1,space,6.28305,space,4.09402,space,3.97394,space,0.75245,0,0,0,4,1,left.jpg,left_path.jpg,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,2.26566,space,2.081245,0,1,1,1,1,ahead_left.jpg,ahead_left_path.jpg,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.87104,space,8.65147,0,2,2,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.545425,space,0.366885,0,3,3,6,1,right_left.jpg,right_left_path.jpg,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.41888,space,0.32806,0,4,4,2,1,ahead_right.jpg,ahead_right_path.jpg,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,0.503615,space,0.346595,0,5,5,0,1,ahead.jpg,ahead_path.jpg,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.19114,space,0.55546,0,6,6,5,1,right.jpg,right_path.jpg,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,1.01764,[],space,0.87758,0,0,0,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,0.551435,[],space,0.520025,0,1,1,4,1,left_2.jpg,left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44406,2020-11-22_19h56.40.070,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,0.527155,[],space,2.74498,0,2,2,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
