image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,drawing,numDrawings,drawingSizes,practice_complete.keys,practice_complete.rt,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_1,trial_complete.keys,trial_complete.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_2,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_1,space,22.155,space,5.039,space,5.4,space,2.129,0,0,0,6,1,right_left.jpg,right_left_path.jpg,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.226,space,2.052,0,1,1,0,1,ahead.jpg,ahead_path.jpg,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.221,space,3.764,0,2,2,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.433,space,4.2,0,3,3,4,1,left.jpg,left_path.jpg,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,2.162,space,1.261,0,4,4,2,1,ahead_right.jpg,ahead_right_path.jpg,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,1.629,space,1.25,0,5,5,1,1,ahead_left.jpg,ahead_left_path.jpg,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,space,2.191,space,1.348,0,6,6,5,1,right.jpg,right_path.jpg,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]",[],0,[],space,1.254,space,1.499,0,0,0,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]",[],0,[],space,1.251,space,0.85,0,1,1,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]",[],0,[],space,2.281,space,0.8,0,2,2,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]",[],0,[],space,1.093,space,1.065,0,3,3,1,1,ahead_left_2.jpg,ahead_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]",[],0,[],space,1.033,space,0.981,0,4,4,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]",[],0,[],space,1.699,space,0.638,0,5,5,6,1,right_left_2.jpg,right_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_1,,,,,,,,,,,,,,,,44124,2020-11-07_13h03.24.140,analogCatScenes,2020.1.3,MacIntel,60,"[1440,900]",[],0,[],space,2.092,space,0.748,0,6,6,4,1,left_2.jpg,left_2_path.jpg,,,,,,,,,,,,,,,,
