presentedImage,sharp_left,left,slight_left,ahead,slight_right,right,sharp_right
ATM1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HorseRaceTrack.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alley1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artStudio1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artStudio3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attic2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attic3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_showroom3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backstage2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backyard2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baggageClaim4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balconyIN2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ballroom1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bambooforest4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basement.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bikerack1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bleachers5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boardwalk2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boardwalk6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
botanicalGarden6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowlingalley5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus_shelter.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campsite.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campsite7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campusquad2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
castle3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
churchInside1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cornfield2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
courthouse1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cubicle4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dancestudio6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deck1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deck4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deck5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diner14.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dining_car.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dining_car2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driveway6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drycleaners4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dugout4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exerciseequipment3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exerciseequipment5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firestation2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fittingroom2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flowershop.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontDoor.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontDoor2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontDoor3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontLawn4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasstation6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasstation7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gazebo3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greenhouse2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greenmountains.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grocerystore5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hayfield5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highway7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homegarden7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hometheater2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotellobby2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hut2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
igloo2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
igloo5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library_aisle10.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library_aisle3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liquorstore7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liquorstore8.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lockerroom4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metroInside2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
museum5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musicStore3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newsstand2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pantry5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parkinggarage.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parkinggarage2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parkinglot3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasture.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pavilion2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promenadeDeck.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
publicrestroom2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
readingroom1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
readingroom5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recordingstudio4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
restaurant14.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
restaurantkitchen2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooftop1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ruralroad7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
savanna5.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoestore2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
staircase.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tollbooth8.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treehouse.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
