image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_5,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_2,Image_List_3,Image_List_4,key_resp.keys,key_resp.rt
Image_List_5,space,11.158995,space,5.85337,space,7.7744,space,2.05781,0,0,0,5,1,right.jpg,right_path.jpg,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,7.10794,space,1.696875,0,1,1,1,1,ahead_left.jpg,ahead_left_path.jpg,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,5.804505,space,3.18672,0,2,2,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,5.03851,space,0.839755,0,3,3,0,1,ahead.jpg,ahead_path.jpg,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,6.28418,space,1.583095,0,4,4,6,1,right_left.jpg,right_left_path.jpg,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,9.299175,space,0.96046,0,5,5,2,1,ahead_right.jpg,ahead_right_path.jpg,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,4.578675,space,1.41836,0,6,6,4,1,left.jpg,left_path.jpg,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,,,,,,,,,,,,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,"[1536,864]",space,13.01929,"[""right_box"",""left_box""]",space,2.377305,0,0,0,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,,,,,,,,,,,,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,"[1536,864]",space,6.504675,"[""ahead_box"",""sharp_right_box""]",space,0.89264,0,1,1,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,,,,,,,,,,,,44579,2020-11-18_19h26.33.643,lingCatScenes,2020.1.3,Win32,60,"[1536,864]",space,6.868085,"[""slight_right_box""]",space,1.608065,0,2,2,5,1,right_2.jpg,right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
