image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_5,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_2,Image_List_3,Image_List_4,key_resp.keys,key_resp.rt
Image_List_5,space,60.222,space,4.797,space,28.224,space,8.58,0,0,0,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,5.171,space,2.228,0,1,1,4,1,left.jpg,left_path.jpg,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,3.205,space,1.89,0,2,2,5,1,right.jpg,right_path.jpg,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,6.394,space,2.835,0,3,3,2,1,ahead_right.jpg,ahead_right_path.jpg,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,20.939,space,6.683,0,4,4,6,1,right_left.jpg,right_left_path.jpg,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,11.557,space,10.252,0,5,5,1,1,ahead_left.jpg,ahead_left_path.jpg,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,space,3.447,space,1.596,0,6,6,0,1,ahead.jpg,ahead_path.jpg,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,,,,,,,,,,,,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,18.868,"[""ahead_box""]",space,2.858,0,0,0,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,,,,,,,,,,,,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,8.334,"[""ahead_box""]",space,9.445,0,1,1,1,1,ahead_left_2.jpg,ahead_left_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
Image_List_5,,,,,,,,,,,,,,,,43965,2020-11-12_13h19.53.509,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",space,7.393,"[""ahead_box"",""right_box""]",space,1.832,0,2,2,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,,,,,,,,
