image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,drawing,numDrawings,drawingSizes,practice_complete.keys,practice_complete.rt,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_4,trial_complete.keys,trial_complete.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_2,Image_List_3,Image_List_5,key_resp.keys,key_resp.rt
Image_List_4,space,22.7848,space,10.9294,space,14.8694,space,5.3973,0,0,0,5,1,right.jpg,right_path.jpg,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_4,,,,,space,7.3641,space,7.4205,0,1,1,4,1,left.jpg,left_path.jpg,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_4,,,,,space,7.8927,space,5.2262,0,2,2,2,1,ahead_right.jpg,ahead_right_path.jpg,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_4,,,,,space,22.5955,space,8.185,0,3,3,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_4,,,,,space,6.5202,space,1.3514,0,4,4,6,1,right_left.jpg,right_left_path.jpg,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_4,,,,,space,11.3789,space,2.9004,0,5,5,0,1,ahead.jpg,ahead_path.jpg,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_4,,,,,space,5.0597,space,1.1588,0,6,6,1,1,ahead_left.jpg,ahead_left_path.jpg,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_4,,,,,,,,,,,,,,,,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,"[1536,864]","[[[0.002777791064646509,-0.19722223261164296],[0.002777791064646509,-0.19722223261164296],[0.002777791064646509,-0.19722223261164296],[0.002777791064646509,-0.19722223261164296],[0.002777791064646509,-0.19351852885274975],[0.030555569256345432,-0.10787037942834475],[0.05925927338776765,-0.014351859516291707],[0.075925940302787,0.07361110475742155],[0.07824075515209525,0.13703703162846742],[0.075925940302787,0.1768518470365692],[0.06759260684527733,0.19629629177075844],[0.060185199327490946,0.20509258819812978],[0.04583340377581425,0.22499999590218067],[0.04583340377581425,0.22685184778162726],[0.04583340377581425,0.22685184778162726],[0.04583340377581425,0.22685184778162726],[0.04583340377581425,0.22685184778162726]]]",1,[17],space,24.5135,space,7.1728,0,0,0,1,1,ahead_left_2.jpg,ahead_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_4,,,,,,,,,,,,,,,,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,"[1536,864]","[[[-0.0032407275435549243,-0.1949074177623347],[-0.0032407275435549243,-0.1949074177623347],[-0.012036967456891843,-0.1615741404463304],[-0.012962949910649547,-0.15555556532409456],[-0.01574072772981944,-0.08981482360374045],[-0.018055542579127684,0.02916663139368607],[-0.018055542579127684,0.03148144624299431],[-0.01851850554898933,0.03287036340959646],[-0.020370357428435928,0.10972221640663014],[-0.02175924633802087,0.15509258745307172],[-0.02175924633802087,0.15555555042293337],[-0.02175924633802087,0.15555555042293337],[-0.02175924633802087,0.15555555042293337],[-0.02175924633802087,0.15555555042293337],[-0.02175924633802087,0.15555555042293337]],[[0.0018519216389576184,-0.20000001043081284],[0.09629631097669955,-0.1703703803596673],[0.1888889049490293,-0.14212963919810676],[0.24629631321187373,-0.1300926019817039],[0.28935186940900703,-0.1300926019817039],[0.30277779553499484,-0.1333333427707354],[0.30277779553499484,-0.1342592687104587],[0.30277779553499484,-0.1342592687104587],[0.30277779553499484,-0.1342592687104587],[0.30277779553499484,-0.1342592687104587],[0.30277779553499484,-0.1342592687104587],[0.30277779553499484,-0.1342592687104587],[0.30277779553499484,-0.1342592687104587]]]",2,"[15,13]",space,11.6596,space,1.8248,0,1,1,2,1,ahead_right_2.jpg,ahead_right_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_4,,,,,,,,,,,,,,,,46711,2022-03-01_14h35.53.787,analogCatScenes,2020.1.3,Win32,60,"[1536,864]","[[[1.3245476616753471e-8,-0.19120371400344152],[0.057870384478182706,0.10185184591898212],[0.056944458538459405,0.12083332768330972],[0.051388902900119625,0.14768517993528535],[0.046296310231641484,0.1587962629549477],[0.04120377407719776,0.1624999949708581],[0.032870384105653676,0.17222221733795273],[0.02638890252759059,0.17361110624753767],[0.02638890252759059,0.17407406921739932],[0.025462976587867295,0.1749999669001054],[0.025000070132040055,0.1749999669001054],[0.025000070132040055,0.17546295812698426],[0.025000070132040055,0.17546295812698426],[0.025000070132040055,0.17546295812698426]],[[0.00231482809478486,-0.1930555658828881],[0.00231482809478486,-0.1930555658828881],[0.013888902341326078,-0.19259260291302646],[0.06250001417679919,-0.19166673348733756],[0.10601853334379417,-0.18935191863802933],[0.15231483032995904,-0.18657408430482503],[0.19305557167778412,-0.18287038054593183],[0.22407409065851458,-0.18194445460620853],[0.2509259429104902,-0.18101852866648524],[0.27731483219260417,-0.1777778443914881],[0.30648149929388807,-0.17314821469287162],[0.31527779572125936,-0.17083339984356338],[0.33379631451572533,-0.16851858499425512],[0.33379631451572533,-0.16851858499425512],[0.33379631451572533,-0.16851858499425512],[0.33379631451572533,-0.16851858499425512],[0.33379631451572533,-0.16851858499425512]]]",2,"[14,17]",space,8.2907,space,2.6539,0,2,2,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,
