image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_2,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box""]",,,,,,,,,,,,warehouse2.jpg,space,3.66662,[-0.010030381944444444],[-0.31590711805555555],[1],[0],[0],[1.1973500000312924],"[""trial_ahead_box""]",0,34,34,95,1,waitingroom2.jpg,stripmall6.jpg,weightroom4.jpg,tvstudio3.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_slight_left_box"",""trial_left_box""]",,,,,,,,,,,,office3.jpg,space,4.081,"[-0.21937934027777778,-0.4013671875]","[-0.29541232638888887,-0.29899739583333335]","[1,1]","[0,0]","[0,0]","[2.1786550000542775,3.011980000010226]","[""trial_slight_left_box"",""trial_left_box""]",0,35,35,66,1,library_aisle10.jpg,laundromat3.jpg,liquorstore.jpg,horsebarn9.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box""]",,,,,,,,,,,,banquetHall6.jpg,space,3.729105,"[0.0028819444444444444,0.21483072916666668,0.4302170138888889,0.4070703125]","[-0.3084027777777778,-0.29443576388888887,-0.29592447916666664,-0.2940842013888889]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.1480599999777041,1.7968000000109896,2.4472050000331365,3.1810200000181794]","[""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box""]",0,36,36,8,1,attic3.jpg,balconyIN.jpg,bar.jpg,applestore4.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box""]",,,,,,,,,,,,church6.jpg,space,4.667175,"[0.025967881944444444,0.0159765625,0.19462239583333332,0.395546875]","[-0.30365017361111113,-0.293828125,-0.30072048611111113,-0.31375434027777777]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.8289599999552593,2.445789999968838,3.0954649999621324,3.978914999985136]","[""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box""]",0,37,37,22,1,bowlingalley5.jpg,cargo5.jpg,cemetery.jpg,bistrooutdoor6.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_sharp_right_box"",""trial_sharp_left_box""]",,,,,,,,,,,,greenhouse5.jpg,space,7.86623,"[0.6038541666666667,-0.5663845486111111,-0.6056510416666666]","[-0.29451822916666665,-0.3159548611111111,-0.27514756944444446]","[1,1,1]","[0,0,0]","[0,0,0]","[5.213815000024624,6.662335000000894,7.229475000000093]","[""trial_sharp_right_box"",""trial_sharp_left_box""]",0,38,38,49,1,frontDoor3.jpg,flowershop3.jpg,greenhouse.jpg,farm2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_sharp_left_box"",""trial_sharp_right_box""]",,,,,,,,,,,,newsstand5.jpg,space,5.325725,"[-0.5928125,0.6353732638888889,0.6172309027777778]","[-0.297109375,-0.3188888888888889,-0.29714409722222224]","[1,1,1]","[0,0,0]","[0,0,0]","[3.312789999996312,4.496114999987185,5.029689999995753]","[""trial_sharp_left_box"",""trial_sharp_right_box""]",0,39,39,64,1,igloo2.jpg,jewelrystore8.jpg,lab5.jpg,homegarage2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_sharp_right_box""]",,,,,,,,,,,,baggageClaim2.jpg,space,4.64761,"[0.20242621527777777,0.20553385416666667,0.6112717013888889]","[-0.3039366319444444,-0.3111545138888889,-0.2901736111111111]","[1,1,1]","[0,0,0]","[0,0,0]","[1.7114200000069104,3.3629450000007637,4.145659999980126]","[""trial_slight_right_box"",""trial_slight_right_box"",""trial_sharp_right_box""]",0,40,40,4,1,artStudio1.jpg,auto_showroom1.jpg,appleorchard3.jpg,alley4.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_left_box""]",,,,,,,,,,,,diner12.jpg,space,2.53301,[-0.38430989583333336],[-0.2916753472222222],[1],[0],[0],[1.763295000011567],"[""trial_left_box""]",0,41,41,32,1,dancestudio6.jpg,constructionSite2.jpg,dentist4.jpg,cabin4.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box""]",,,,,,,,,,,,wineVineyard8.jpg,space,1.87755,[-0.01578125],[-0.3070095486111111],[1],[0],[0],[1.3295800000196323],"[""trial_ahead_box""]",0,42,42,98,1,weightroom5.jpg,warehouse3.jpg,winebarrel4.jpg,winebarrel2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_left_box""]",,,,,,,,,,,,horsebarn11.jpg,space,2.47887,"[-0.43932725694444447,-0.40328993055555556]","[-0.320859375,-0.3083984375]","[1,1]","[0,0]","[0,0]","[1.6455600000335835,2.196005000034347]","[""trial_left_box""]",0,43,43,54,1,greenhouse2.jpg,gazebo2.jpg,homegarage4.jpg,frontFoyer.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_left_box""]",,,,,,,,,,,,casino3.jpg,space,4.83023,[-0.39383246527777777],[-0.2948003472222222],[1],[0],[0],[4.4614000000292435],"[""trial_left_box""]",0,44,44,19,1,boardwalk2.jpg,cafeteria1.jpg,castle4.jpg,basketballcourt.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box"",""trial_slight_right_box""]",,,,,,,,,,,,elevatorOutside4.jpg,space,2.628525,"[-0.007122395833333333,0.20154947916666666]","[-0.31067274305555553,-0.3028559027777778]","[1,1]","[0,0]","[0,0]","[1.4128749999799766,2.3300649999873713]","[""trial_ahead_box"",""trial_slight_right_box""]",0,45,45,38,1,dining_car2.jpg,dock1.jpg,driveway8.jpg,classroom1.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box"",""trial_sharp_right_box"",""trial_slight_left_box"",""trial_left_box"",""trial_sharp_left_box""]",,,,,,,,,,,,dancestudio5.jpg,space,8.04605,"[-0.029427083333333333,-0.007508680555555556,0.22057725694444444,0.39545572916666666,0.5448871527777778,0.6190494791666666,-0.17848958333333334,-0.40444444444444444,-0.5603211805555556,-0.5901909722222223]","[-0.3033723958333333,-0.31038194444444445,-0.294140625,-0.2964236111111111,-0.3006640625,-0.3050564236111111,-0.3072960069444444,-0.3047960069444444,-0.2918706597222222,-0.2918706597222222]","[1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[1.4453150000190362,2.0619650000007823,3.0123500000336207,3.661500000045635,4.279495000024326,4.761679999995977,5.595585000002757,6.229165000026114,6.82856500003254,7.3114000000059605]","[""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box"",""trial_sharp_right_box"",""trial_slight_left_box"",""trial_left_box"",""trial_sharp_left_box""]",0,46,46,28,1,churchInside1.jpg,citystreet10.jpg,clothingstore5.jpg,bridalboutique2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box""]",,,,,,,,,,,,cave.jpg,space,3.12936,[-0.014704861111111111],[-0.3059939236111111],[1],[0],[0],[2.445869999995921],"[""trial_ahead_box""]",0,47,47,20,1,boardwalk6.jpg,campsite3.jpg,cave4.jpg,basketballcourt7.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box"",""trial_slight_left_box"",""trial_slight_right_box""]",,,,,,,,,,,,frontFoyer4.jpg,space,4.06242,"[-0.014704861111111111,-0.17951822916666665,0.19934027777777777]","[-0.3059939236111111,-0.31178819444444444,-0.3034852430555556]","[1,1,1]","[0,0,0]","[0,0,0]","[1.962679999996908,2.6959849999984726,3.714224999945145]","[""trial_ahead_box"",""trial_slight_left_box"",""trial_slight_right_box""]",0,48,48,44,1,firestation2.jpg,elevatorOutside1.jpg,foodcourt6.jpg,dock2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box"",""trial_slight_right_box""]",,,,,,,,,,,,yogastudio4.jpg,space,2.4127,"[0.005603298611111111,0.18532552083333334]","[-0.2876605902777778,-0.2795095486111111]","[1,1]","[0,0]","[0,0]","[1.295719999994617,1.9957949999952689]","[""trial_ahead_box"",""trial_slight_right_box""]",0,49,49,99,1,wineVineyard9.jpg,windmill2.jpg,wrestlingring7.jpg,yogastudio1.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_left_box"",""trial_ahead_box""]",,,,,,,,,,,,attic1.jpg,space,5.46156,"[-0.3761067708333333,-0.015989583333333335]","[-0.29296006944444447,-0.29933159722222225]","[1,1]","[0,0]","[0,0]","[3.143849999993108,4.478359999950044]","[""trial_left_box"",""trial_ahead_box""]",0,50,50,3,1,apartmentBuilding2.jpg,aquarium1.jpg,appleorchard2.jpg,alley3.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box""]",,,,,,,,,,,,cornfield4.jpg,space,2.281065,[0.007252604166666667],[-0.3198003472222222],[1],[0],[0],[1.4296249999897555],"[""trial_ahead_box""]",0,51,51,26,1,campusquad2.jpg,church4.jpg,churchInside3.jpg,botanicalGarden7.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_left_box"",""trial_slight_left_box"",""trial_ahead_box""]",,,,,,,,,,,,sculpturegarden1.jpg,space,7.525565,"[-0.3922309027777778,-0.21376302083333334,-0.012426215277777777]","[-0.29856770833333335,-0.2794140625,-0.3084939236111111]","[1,1,1]","[0,0,0]","[0,0,0]","[2.2953449999913573,5.061555000022054,7.161390000022948]","[""trial_left_box"",""trial_slight_left_box"",""trial_ahead_box""]",0,52,52,83,1,readingroom1.jpg,promenadeDeck6.jpg,restaurant8.jpg,readingroom2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_ahead_box""]",,,,,,,,,,,,park7.jpg,space,3.325245,[-0.012426215277777777],[-0.3084939236111111],[1],[0],[0],[3.0116699999780394],"[""trial_ahead_box""]",0,53,53,67,1,library_aisle3.jpg,laundromat4.jpg,liquorstore2.jpg,hospitalroom2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_right_box"",""trial_left_box""]",,,,,,,,,,,,diningroom5.jpg,space,3.7088,"[0.36671875,0.3784895833333333,-0.39739583333333334]","[-0.30948350694444443,-0.3188845486111111,-0.3228255208333333]","[1,1,1]","[0,0,0]","[0,0,0]","[1.3277949999901466,1.8957250000094064,3.0613199999788776]","[""trial_right_box"",""trial_left_box""]",0,54,54,34,1,deck4.jpg,courthouse4.jpg,diner11.jpg,campusquad1.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44613,2020-11-24_17h22.07.158,lingCatScenes,2020.1.3,MacIntel,60,"[1440,900]",,,"[""trial_left_box""]",,,,,,,,,,,,museum6.jpg,space,2.646005,[-0.38484375],[-0.3066796875],[1],[0],[0],[1.1127400000113994],"[""trial_left_box""]",0,55,55,63,1,hut2.jpg,hotelRoom2.jpg,lab4.jpg,highway2.jpg,,
