image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,drawing,numDrawings,drawingSizes,practice_complete.keys,practice_complete.rt,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_3,trial_complete.keys,trial_complete.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_2,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_3,space,11.58269,space,2.243635,space,3.526785,space,5.08737,0,0,0,5,1,right.jpg,right_path.jpg,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,1.271165,space,1.2315,0,1,1,0,1,ahead.jpg,ahead_path.jpg,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.89581,space,1.35285,0,2,2,4,1,left.jpg,left_path.jpg,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.95163,space,1.402165,0,3,3,6,1,right_left.jpg,right_left_path.jpg,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.535045,space,2.1453,0,4,4,3,1,ahead_right_left.jpg,ahead_right_left_path.jpg,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.000535,space,0.256875,0,5,5,1,1,ahead_left.jpg,ahead_left_path.jpg,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,space,0.25777,space,0.62215,0,6,6,2,1,ahead_right.jpg,ahead_right_path.jpg,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,"[1920,1080]",[],0,[],space,0.22935,space,0.63168,0,0,0,0,1,ahead_2.jpg,ahead_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,"[1920,1080]","[[[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19166666666666668],[-0.001851851851851852,-0.19074074074074074],[-0.000925925925925926,-0.19074074074074074],[-0.000925925925925926,-0.18981481481481483],[-0.000925925925925926,-0.18981481481481483],[-0.000925925925925926,-0.18703703703703703],[0.000925925925925926,-0.18425925925925926],[0.000925925925925926,-0.18055555555555555],[0.001851851851851852,-0.17685185185185184],[0.002777777777777778,-0.17222222222222222],[0.004629629629629629,-0.16574074074074074],[0.005555555555555556,-0.15833333333333333],[0.006481481481481481,-0.15092592592592594],[0.006481481481481481,-0.14351851851851852],[0.007407407407407408,-0.13333333333333333],[0.008333333333333333,-0.12407407407407407],[0.008333333333333333,-0.11574074074074074],[0.009259259259259259,-0.10833333333333334],[0.009259259259259259,-0.1],[0.010185185185185186,-0.09166666666666666],[0.011111111111111112,-0.08333333333333333],[0.011111111111111112,-0.07592592592592592],[0.012037037037037037,-0.06851851851851852],[0.012962962962962963,-0.06111111111111111],[0.012962962962962963,-0.05462962962962963],[0.013888888888888888,-0.04814814814814815],[0.014814814814814815,-0.04259259259259259],[0.01574074074074074,-0.03611111111111111],[0.01574074074074074,-0.030555555555555555],[0.01574074074074074,-0.025925925925925925],[0.01574074074074074,-0.020370370370370372],[0.01574074074074074,-0.01574074074074074],[0.01574074074074074,-0.010185185185185186],[0.016666666666666666,-0.005555555555555556],[0.016666666666666666,-0.000925925925925926],[0.016666666666666666,0.002777777777777778],[0.017592592592592594,0.007407407407407408],[0.017592592592592594,0.011111111111111112],[0.017592592592592594,0.014814814814814815],[0.017592592592592594,0.017592592592592594],[0.017592592592592594,0.021296296296296296],[0.017592592592592594,0.025],[0.017592592592592594,0.028703703703703703],[0.017592592592592594,0.032407407407407406],[0.017592592592592594,0.03611111111111111],[0.017592592592592594,0.03888888888888889],[0.017592592592592594,0.04259259259259259],[0.017592592592592594,0.046296296296296294],[0.017592592592592594,0.05],[0.017592592592592594,0.053703703703703705],[0.018518518518518517,0.05740740740740741],[0.018518518518518517,0.06111111111111111],[0.018518518518518517,0.06574074074074074],[0.019444444444444445,0.06944444444444445],[0.019444444444444445,0.07314814814814814],[0.019444444444444445,0.07777777777777778],[0.019444444444444445,0.0824074074074074],[0.020370370370370372,0.08611111111111111],[0.020370370370370372,0.09074074074074075],[0.021296296296296296,0.09444444444444444],[0.021296296296296296,0.09907407407407408],[0.022222222222222223,0.1037037037037037],[0.022222222222222223,0.10648148148148148],[0.023148148148148147,0.1111111111111111],[0.023148148148148147,0.11481481481481481],[0.023148148148148147,0.11851851851851852],[0.023148148148148147,0.12129629629629629],[0.024074074074074074,0.125],[0.024074074074074074,0.12777777777777777],[0.024074074074074074,0.13148148148148148],[0.024074074074074074,0.13425925925925927],[0.024074074074074074,0.1361111111111111],[0.025,0.1388888888888889],[0.025,0.14166666666666666],[0.025,0.14444444444444443],[0.025,0.14629629629629629],[0.025925925925925925,0.14814814814814814],[0.025925925925925925,0.15],[0.025925925925925925,0.15092592592592594],[0.025925925925925925,0.15185185185185185],[0.025925925925925925,0.15185185185185185],[0.025925925925925925,0.1527777777777778],[0.025925925925925925,0.1527777777777778],[0.025925925925925925,0.1537037037037037],[0.025925925925925925,0.1537037037037037],[0.025925925925925925,0.1537037037037037],[0.025925925925925925,0.15555555555555556],[0.025925925925925925,0.15648148148148147],[0.025925925925925925,0.1574074074074074],[0.025925925925925925,0.15925925925925927],[0.025925925925925925,0.16111111111111112],[0.025925925925925925,0.16296296296296298],[0.025925925925925925,0.1648148148148148],[0.025,0.16666666666666666],[0.025,0.1675925925925926],[0.025,0.1685185185185185],[0.025,0.17037037037037037],[0.025,0.1712962962962963],[0.025,0.17222222222222222],[0.025,0.17407407407407408],[0.025,0.17407407407407408],[0.025,0.17592592592592593],[0.025,0.17685185185185184],[0.025,0.17777777777777778],[0.025,0.1787037037037037],[0.024074074074074074,0.17962962962962964],[0.024074074074074074,0.18055555555555555],[0.024074074074074074,0.18055555555555555],[0.024074074074074074,0.18055555555555555],[0.024074074074074074,0.1814814814814815],[0.024074074074074074,0.1814814814814815],[0.024074074074074074,0.1824074074074074],[0.024074074074074074,0.1824074074074074],[0.024074074074074074,0.18333333333333332],[0.024074074074074074,0.18333333333333332],[0.024074074074074074,0.18333333333333332],[0.024074074074074074,0.18333333333333332],[0.024074074074074074,0.18333333333333332],[0.024074074074074074,0.18333333333333332],[0.024074074074074074,0.18333333333333332],[0.024074074074074074,0.18333333333333332],[0.023148148148148147,0.18425925925925926],[0.023148148148148147,0.18425925925925926],[0.023148148148148147,0.18425925925925926],[0.023148148148148147,0.18425925925925926],[0.022222222222222223,0.18518518518518517],[0.022222222222222223,0.18518518518518517],[0.022222222222222223,0.18518518518518517],[0.022222222222222223,0.18518518518518517],[0.021296296296296296,0.18518518518518517],[0.021296296296296296,0.18518518518518517],[0.021296296296296296,0.18518518518518517],[0.021296296296296296,0.18518518518518517],[0.021296296296296296,0.18518518518518517],[0.021296296296296296,0.18518518518518517],[0.021296296296296296,0.18518518518518517],[0.020370370370370372,0.18611111111111112],[0.019444444444444445,0.18611111111111112],[0.019444444444444445,0.18611111111111112],[0.018518518518518517,0.18703703703703703],[0.018518518518518517,0.18703703703703703],[0.017592592592592594,0.18703703703703703],[0.017592592592592594,0.18703703703703703],[0.016666666666666666,0.18703703703703703],[0.016666666666666666,0.18796296296296297],[0.01574074074074074,0.18796296296296297],[0.01574074074074074,0.18888888888888888],[0.01574074074074074,0.18888888888888888],[0.01574074074074074,0.18888888888888888],[0.014814814814814815,0.18888888888888888],[0.014814814814814815,0.18888888888888888],[0.014814814814814815,0.18888888888888888],[0.014814814814814815,0.18888888888888888],[0.014814814814814815,0.18888888888888888],[0.014814814814814815,0.18888888888888888],[0.013888888888888888,0.18888888888888888],[0.013888888888888888,0.18888888888888888],[0.013888888888888888,0.18888888888888888],[0.012962962962962963,0.18888888888888888],[0.012037037037037037,0.18888888888888888],[0.011111111111111112,0.18888888888888888],[0.011111111111111112,0.18981481481481483],[0.010185185185185186,0.18981481481481483],[0.010185185185185186,0.18981481481481483],[0.009259259259259259,0.18981481481481483],[0.008333333333333333,0.19074074074074074],[0.007407407407407408,0.19074074074074074],[0.007407407407407408,0.19074074074074074],[0.007407407407407408,0.19074074074074074],[0.006481481481481481,0.19074074074074074],[0.006481481481481481,0.19074074074074074],[0.005555555555555556,0.19074074074074074],[0.005555555555555556,0.19074074074074074],[0.004629629629629629,0.19166666666666668],[0.003703703703703704,0.19166666666666668],[0.003703703703703704,0.19166666666666668],[0.002777777777777778,0.19166666666666668],[0.002777777777777778,0.19166666666666668],[0.001851851851851852,0.19166666666666668],[0.000925925925925926,0.1925925925925926],[0,0.1925925925925926],[0,0.1935185185185185],[-0.000925925925925926,0.1935185185185185],[-0.000925925925925926,0.1935185185185185],[-0.001851851851851852,0.1935185185185185],[-0.001851851851851852,0.1935185185185185],[-0.002777777777777778,0.19444444444444445],[-0.002777777777777778,0.19444444444444445],[-0.003703703703703704,0.19444444444444445],[-0.003703703703703704,0.19444444444444445],[-0.003703703703703704,0.19444444444444445],[-0.003703703703703704,0.19444444444444445],[-0.004629629629629629,0.19444444444444445],[-0.004629629629629629,0.19444444444444445],[-0.004629629629629629,0.19444444444444445],[-0.005555555555555556,0.19444444444444445],[-0.005555555555555556,0.19444444444444445],[-0.005555555555555556,0.19444444444444445],[-0.006481481481481481,0.19444444444444445],[-0.006481481481481481,0.19444444444444445],[-0.006481481481481481,0.19444444444444445],[-0.007407407407407408,0.19444444444444445],[-0.007407407407407408,0.19444444444444445],[-0.007407407407407408,0.19444444444444445],[-0.007407407407407408,0.19444444444444445],[-0.008333333333333333,0.19444444444444445],[-0.009259259259259259,0.19444444444444445],[-0.009259259259259259,0.19444444444444445],[-0.010185185185185186,0.19444444444444445],[-0.011111111111111112,0.19444444444444445],[-0.011111111111111112,0.19444444444444445],[-0.012037037037037037,0.19444444444444445],[-0.012962962962962963,0.19444444444444445],[-0.013888888888888888,0.19444444444444445],[-0.013888888888888888,0.19537037037037036],[-0.014814814814814815,0.19537037037037036],[-0.014814814814814815,0.19537037037037036],[-0.014814814814814815,0.19537037037037036],[-0.01574074074074074,0.19537037037037036],[-0.01574074074074074,0.19537037037037036],[-0.01574074074074074,0.19537037037037036],[-0.016666666666666666,0.19537037037037036],[-0.017592592592592594,0.19537037037037036],[-0.017592592592592594,0.19537037037037036],[-0.018518518518518517,0.19537037037037036],[-0.019444444444444445,0.19537037037037036],[-0.019444444444444445,0.19537037037037036],[-0.020370370370370372,0.19537037037037036],[-0.020370370370370372,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.021296296296296296,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036],[-0.022222222222222223,0.19537037037037036]]]",1,[264],space,53.118745,space,4.01774,0,1,1,1,1,ahead_left_2.jpg,ahead_left_2_path.jpg,,,,,,,,,,,,,,,,
Image_List_3,,,,,,,,,,,,,,,,44162,2020-11-18_15h30.06.774,analogCatScenes,2020.1.3,Win32,60,"[1920,1080]","[[[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19166666666666668],[-0.008333333333333333,-0.19074074074074074],[-0.008333333333333333,-0.19074074074074074],[-0.008333333333333333,-0.19074074074074074],[-0.008333333333333333,-0.19074074074074074],[-0.008333333333333333,-0.18981481481481483],[-0.009259259259259259,-0.18981481481481483],[-0.009259259259259259,-0.18981481481481483],[-0.009259259259259259,-0.18888888888888888],[-0.009259259259259259,-0.18888888888888888],[-0.010185185185185186,-0.18888888888888888],[-0.010185185185185186,-0.18888888888888888],[-0.011111111111111112,-0.18888888888888888],[-0.012037037037037037,-0.18796296296296297],[-0.012037037037037037,-0.18796296296296297],[-0.012962962962962963,-0.18796296296296297],[-0.013888888888888888,-0.18796296296296297],[-0.014814814814814815,-0.18703703703703703],[-0.01574074074074074,-0.18703703703703703],[-0.016666666666666666,-0.18611111111111112],[-0.018518518518518517,-0.18518518518518517],[-0.019444444444444445,-0.18518518518518517],[-0.021296296296296296,-0.18518518518518517],[-0.022222222222222223,-0.18425925925925926],[-0.023148148148148147,-0.18333333333333332],[-0.025,-0.18333333333333332],[-0.025925925925925925,-0.1824074074074074],[-0.026851851851851852,-0.1824074074074074],[-0.028703703703703703,-0.1814814814814815],[-0.02962962962962963,-0.18055555555555555],[-0.030555555555555555,-0.18055555555555555],[-0.03148148148148148,-0.17962962962962964],[-0.032407407407407406,-0.17962962962962964],[-0.03333333333333333,-0.1787037037037037],[-0.03425925925925926,-0.1787037037037037],[-0.03611111111111111,-0.17777777777777778],[-0.03796296296296296,-0.17685185185185184],[-0.03888888888888889,-0.17685185185185184],[-0.041666666666666664,-0.175],[-0.04351851851851852,-0.175],[-0.04537037037037037,-0.17407407407407408],[-0.04722222222222222,-0.17314814814814813],[-0.049074074074074076,-0.17314814814814813],[-0.05092592592592592,-0.17222222222222222],[-0.05277777777777778,-0.1712962962962963],[-0.053703703703703705,-0.17037037037037037],[-0.05555555555555555,-0.16944444444444445],[-0.05740740740740741,-0.16944444444444445],[-0.058333333333333334,-0.1685185185185185],[-0.06018518518518518,-0.1675925925925926],[-0.06111111111111111,-0.1675925925925926],[-0.062037037037037036,-0.16666666666666666],[-0.06388888888888888,-0.16666666666666666],[-0.06574074074074074,-0.16574074074074074],[-0.06666666666666667,-0.16574074074074074],[-0.06851851851851852,-0.1648148148148148],[-0.06944444444444445,-0.1648148148148148],[-0.0712962962962963,-0.1648148148148148],[-0.07222222222222222,-0.1638888888888889],[-0.07407407407407407,-0.1638888888888889],[-0.075,-0.16296296296296298],[-0.07685185185185185,-0.16296296296296298],[-0.0787037037037037,-0.16296296296296298],[-0.08055555555555556,-0.16203703703703703],[-0.0824074074074074,-0.16203703703703703],[-0.08333333333333333,-0.16111111111111112],[-0.08518518518518518,-0.16111111111111112],[-0.08703703703703704,-0.16018518518518518],[-0.08888888888888889,-0.16018518518518518],[-0.09074074074074075,-0.15925925925925927],[-0.09259259259259259,-0.15925925925925927],[-0.09351851851851851,-0.15833333333333333],[-0.09537037037037037,-0.1574074074074074],[-0.09722222222222222,-0.1574074074074074],[-0.09907407407407408,-0.1574074074074074],[-0.1,-0.15648148148148147],[-0.10277777777777777,-0.15648148148148147],[-0.1037037037037037,-0.15555555555555556],[-0.10555555555555556,-0.15555555555555556],[-0.10740740740740741,-0.15462962962962962],[-0.11018518518518519,-0.15462962962962962],[-0.11203703703703703,-0.1537037037037037],[-0.11388888888888889,-0.1537037037037037],[-0.11574074074074074,-0.1527777777777778],[-0.1175925925925926,-0.1527777777777778],[-0.12037037037037036,-0.1527777777777778],[-0.12314814814814815,-0.15185185185185185],[-0.125,-0.15185185185185185],[-0.12777777777777777,-0.15092592592592594],[-0.1287037037037037,-0.15092592592592594],[-0.13055555555555556,-0.15092592592592594],[-0.13240740740740742,-0.15],[-0.13425925925925927,-0.15],[-0.13518518518518519,-0.15],[-0.13796296296296295,-0.14907407407407408],[-0.1398148148148148,-0.14907407407407408],[-0.14166666666666666,-0.14907407407407408],[-0.14351851851851852,-0.14814814814814814],[-0.14444444444444443,-0.14814814814814814],[-0.14629629629629629,-0.14722222222222223],[-0.14814814814814814,-0.14722222222222223],[-0.14907407407407408,-0.14722222222222223],[-0.15,-0.14629629629629629],[-0.15185185185185185,-0.14629629629629629],[-0.1537037037037037,-0.14629629629629629],[-0.15555555555555556,-0.14537037037037037],[-0.1574074074074074,-0.14537037037037037],[-0.15925925925925927,-0.14444444444444443],[-0.16203703703703703,-0.14444444444444443],[-0.1648148148148148,-0.14351851851851852],[-0.1675925925925926,-0.1425925925925926],[-0.17037037037037037,-0.1425925925925926],[-0.17222222222222222,-0.14166666666666666],[-0.175,-0.14166666666666666],[-0.17685185185185184,-0.14074074074074075],[-0.17962962962962964,-0.1398148148148148],[-0.1814814814814815,-0.1388888888888889],[-0.18333333333333332,-0.1388888888888889],[-0.18518518518518517,-0.13796296296296295],[-0.18796296296296297,-0.13703703703703704],[-0.18888888888888888,-0.13703703703703704],[-0.19074074074074074,-0.1361111111111111],[-0.19166666666666668,-0.1361111111111111],[-0.1935185185185185,-0.13518518518518519],[-0.19444444444444445,-0.13518518518518519],[-0.1962962962962963,-0.13425925925925927],[-0.19722222222222222,-0.13425925925925927],[-0.19907407407407407,-0.13333333333333333],[-0.2,-0.13333333333333333],[-0.20277777777777778,-0.13240740740740742],[-0.20462962962962963,-0.13148148148148148],[-0.2074074074074074,-0.13055555555555556],[-0.20925925925925926,-0.12962962962962962],[-0.21203703703703702,-0.12962962962962962],[-0.21481481481481482,-0.1287037037037037],[-0.2175925925925926,-0.12777777777777777],[-0.21944444444444444,-0.12685185185185185],[-0.2222222222222222,-0.1259259259259259],[-0.22407407407407406,-0.125],[-0.22685185185185186,-0.12407407407407407],[-0.22777777777777777,-0.12314814814814815],[-0.22962962962962963,-0.12222222222222222],[-0.23148148148148148,-0.12222222222222222],[-0.23333333333333334,-0.12129629629629629],[-0.2351851851851852,-0.12129629629629629],[-0.2361111111111111,-0.12037037037037036],[-0.23703703703703705,-0.12037037037037036],[-0.2388888888888889,-0.11944444444444445],[-0.24074074074074073,-0.11851851851851852],[-0.24166666666666667,-0.11851851851851852],[-0.24351851851851852,-0.1175925925925926],[-0.24537037037037038,-0.1175925925925926],[-0.24722222222222223,-0.11666666666666667],[-0.25,-0.11574074074074074],[-0.25277777777777777,-0.11481481481481481],[-0.25555555555555554,-0.11388888888888889],[-0.2574074074074074,-0.11388888888888889],[-0.2601851851851852,-0.11296296296296296],[-0.262037037037037,-0.11203703703703703],[-0.2638888888888889,-0.11203703703703703],[-0.2657407407407407,-0.1111111111111111],[-0.26666666666666666,-0.11018518518518519],[-0.26851851851851855,-0.11018518518518519],[-0.26944444444444443,-0.10925925925925926],[-0.27037037037037037,-0.10925925925925926],[-0.2722222222222222,-0.10833333333333334],[-0.2740740740740741,-0.10833333333333334],[-0.2759259259259259,-0.10740740740740741],[-0.2777777777777778,-0.10648148148148148],[-0.27870370370370373,-0.10555555555555556],[-0.28055555555555556,-0.10555555555555556],[-0.2824074074074074,-0.10555555555555556],[-0.28425925925925927,-0.10462962962962963],[-0.2851851851851852,-0.1037037037037037],[-0.28703703703703703,-0.10277777777777777],[-0.28888888888888886,-0.10277777777777777],[-0.2898148148148148,-0.10185185185185185],[-0.2916666666666667,-0.10092592592592593],[-0.29444444444444445,-0.1],[-0.2962962962962963,-0.1],[-0.29814814814814816,-0.09907407407407408],[-0.3,-0.09814814814814815],[-0.30092592592592593,-0.09814814814814815],[-0.30277777777777776,-0.09722222222222222],[-0.30462962962962964,-0.0962962962962963],[-0.30648148148148147,-0.0962962962962963],[-0.3074074074074074,-0.09537037037037037],[-0.30925925925925923,-0.09537037037037037],[-0.3111111111111111,-0.09444444444444444],[-0.31296296296296294,-0.09444444444444444],[-0.31574074074074077,-0.09351851851851851],[-0.3175925925925926,-0.09351851851851851],[-0.3194444444444444,-0.09259259259259259],[-0.32037037037037036,-0.09259259259259259],[-0.32222222222222224,-0.09166666666666666],[-0.32407407407407407,-0.09074074074074075],[-0.325,-0.09074074074074075],[-0.32592592592592595,-0.08981481481481482],[-0.32685185185185184,-0.08981481481481482],[-0.3287037037037037,-0.08888888888888889],[-0.3296296296296296,-0.08796296296296297],[-0.3314814814814815,-0.08796296296296297],[-0.33240740740740743,-0.08796296296296297],[-0.3333333333333333,-0.08703703703703704],[-0.33425925925925926,-0.08703703703703704],[-0.33611111111111114,-0.08611111111111111],[-0.33611111111111114,-0.08611111111111111],[-0.33796296296296297,-0.08518518518518518],[-0.3388888888888889,-0.08518518518518518],[-0.34074074074074073,-0.08518518518518518],[-0.3416666666666667,-0.08425925925925926],[-0.3435185185185185,-0.08425925925925926],[-0.3453703703703704,-0.08333333333333333],[-0.3472222222222222,-0.08333333333333333],[-0.3490740740740741,-0.0824074074074074]]]",1,[226],space,8.620465,space,3.357435,0,2,2,3,1,ahead_right_left_2.jpg,ahead_right_left_2_path.jpg,,,,,,,,,,,,,,,,
