image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_2,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_3,Image_List_4,Image_List_5,key_resp.keys,key_resp.rt
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_left_box"",""trial_slight_right_box"",""trial_ahead_box""]",,,,,,,,,,,,dormroom9.jpg,space,3.00651,"[-0.3645833333333333,-0.13541666666666666,-0.18359375,-0.032552083333333336,0.20052083333333334,-0.0078125]","[-0.28125,-0.2890625,-0.3059895833333333,-0.2903645833333333,-0.3033854166666667,-0.2981770833333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6718600000021979,1.0880250000045635,1.404934999998659,1.7732550000073388,2.2060350000392646,2.6887600000482053]","[""trial_slight_left_box"",""trial_slight_right_box"",""trial_ahead_box""]",0,68,68,36,1,diner14.jpg,dining_car3.jpg,doctor1.jpg,checkoutcounter9.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_left_box"",""trial_slight_right_box""]",,,,,,,,,,,,firestation3.jpg,space,1.807495,"[-0.3841145833333333,0.203125]","[-0.2786458333333333,-0.30859375]","[1,1]","[0,0]","[0,0]","[0.9672100000316277,1.5997400000342168]","[""trial_left_box"",""trial_slight_right_box""]",0,69,69,42,1,exerciseequipment3.jpg,drymountains6.jpg,farm4.jpg,desertvegetation2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_ahead_box""]",,,,,,,,,,,,horsebarn11.jpg,space,0.767595,[0],[-0.3033854166666667],[1],[0],[0],[0.5087499999790452],"[""trial_ahead_box""]",0,70,70,54,1,greenhouse2.jpg,gazebo2.jpg,homegarage4.jpg,frontFoyer.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_left_box""]",,,,,,,,,,,,forestpath10.jpg,space,0.60534,[-0.20572916666666666],[-0.3059895833333333],[1],[0],[0],[0.3368999999947846],"[""trial_slight_left_box""]",0,71,71,43,1,exerciseequipment5.jpg,dugout2.jpg,foodcourt.jpg,diningroom3.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_left_box""]",,,,,,,,,,,,ruralroad5.jpg,space,0.65812,[-0.4036458333333333],[-0.3020833333333333],[1],[0],[0],[0.48941000003833324],"[""trial_left_box""]",0,72,72,81,1,promenadeDeck.jpg,promenadeDeck2.jpg,rainforest5.jpg,pasture8.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_left_box""]",,,,,,,,,,,,hardwarestore1.jpg,space,0.54247,[-0.18359375],[-0.3098958333333333],[1],[0],[0],[0.33809500001370907],"[""trial_slight_left_box""]",0,73,73,52,1,gasstation7.jpg,frontFoyer6.jpg,highway.jpg,forestpath2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_ahead_box""]",,,,,,,,,,,,banquetHall4.jpg,space,0.44477,[0.0078125],[-0.3203125],[1],[0],[0],[0.25550999998813495],"[""trial_ahead_box""]",0,74,74,7,1,attic2.jpg,backstage1.jpg,baggageClaim3.jpg,applestore2.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_right_box""]",,,,,,,,,,,,diningroom1.jpg,space,0.438885,[0.19010416666666666],[-0.3125],[1],[0],[0],[0.2763450000202283],"[""trial_slight_right_box""]",0,75,75,33,1,deck1.jpg,courthouse2.jpg,diner10.jpg,cabinIndoors5.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_slight_left_box""]",,,,,,,,,,,,farm1.jpg,space,0.458555,[-0.22395833333333334],[-0.3203125],[1],[0],[0],[0.3368350000237115],"[""trial_slight_left_box""]",0,76,76,40,1,drycleaners4.jpg,drymountains.jpg,dugout1.jpg,clothingstore3.jpg,,
Image_List_2,,,,,,,,,,,,,,,,44429,2020-11-19_16h34.00.322,lingCatScenes,2020.1.3,Win32,60,"[1366,768]",,,"[""trial_ahead_box""]",,,,,,,,,,,,elevatorOutside4.jpg,space,1.20446,"[0.02734375,-0.014322916666666666]","[-0.3203125,-0.2981770833333333]","[1,1]","[0,0]","[0,0]","[0.42454500001622364,1.0401249999995343]","[""trial_ahead_box""]",0,77,77,38,1,dining_car2.jpg,dock1.jpg,driveway8.jpg,classroom1.jpg,,
