presentedImage,participant,ahead,right,left,sharp_right,slight_right,slight_left,sharp_left
ATM1.jpg,43851,,,,,,,
ATM1.jpg,44020,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ATM1.jpg,44124,,,,,,,
ATM1.jpg,44237,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ATM1.jpg,44386,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATM1.jpg,44406,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ATM1.jpg,44526,,,,,,,
ATM4.jpg,43899,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATM4.jpg,43965,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ATM4.jpg,43992,,,,,,,
ATM4.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATM4.jpg,44076,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATM4.jpg,44365,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ATM4.jpg,44368,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ATM4.jpg,44422,,,,,,,
ATM4.jpg,44532,,,,,,,
ATM4.jpg,44533,,,,,,,
ATM4.jpg,44579,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HorseRaceTrack.jpg,43851,,,,,,,
HorseRaceTrack.jpg,44020,0.0,0.0,1.0,1.0,0.0,0.0,1.0
HorseRaceTrack.jpg,44124,,,,,,,
HorseRaceTrack.jpg,44237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HorseRaceTrack.jpg,44386,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HorseRaceTrack.jpg,44406,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HorseRaceTrack.jpg,44526,,,,,,,
RVinside2.jpg,43899,1.0,0.0,0.0,0.0,1.0,1.0,0.0
RVinside2.jpg,43965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RVinside2.jpg,43992,,,,,,,
RVinside2.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RVinside2.jpg,44076,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RVinside2.jpg,44365,1.0,1.0,0.0,0.0,0.0,0.0,0.0
RVinside2.jpg,44368,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RVinside2.jpg,44422,,,,,,,
RVinside2.jpg,44532,,,,,,,
RVinside2.jpg,44533,,,,,,,
RVinside2.jpg,44579,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ShowJumping7.jpg,43903,,,,,,,
ShowJumping7.jpg,44162,,,,,,,
ShowJumping7.jpg,44218,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ShowJumping7.jpg,44235,,,,,,,
ShowJumping7.jpg,44241,,,,,,,
ShowJumping7.jpg,44293,,,,,,,
ShowJumping7.jpg,44354,,,,,,,
ShowJumping7.jpg,44398,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ShowJumping7.jpg,44542,,,,,,,
ShowJumping7.jpg,44557,1.0,1.0,1.0,0.0,1.0,1.0,0.0
ShowJumping7.jpg,44563,,,,,,,
ShowJumping7.jpg,44581,,,,,,,
ShowJumping7.jpg,44602,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ShowJumping7.jpg,44608,,,,,,,
airplanecabin1.jpg,43851,,,,,,,
airplanecabin1.jpg,44020,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin1.jpg,44124,,,,,,,
airplanecabin1.jpg,44237,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin1.jpg,44386,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin1.jpg,44406,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin1.jpg,44526,,,,,,,
airplanecabin3.jpg,43899,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin3.jpg,43965,0.0,0.0,1.0,0.0,1.0,0.0,0.0
airplanecabin3.jpg,43992,,,,,,,
airplanecabin3.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin3.jpg,44076,0.0,1.0,0.0,0.0,0.0,0.0,0.0
airplanecabin3.jpg,44365,0.0,0.0,0.0,0.0,1.0,0.0,0.0
airplanecabin3.jpg,44368,0.0,0.0,0.0,1.0,0.0,0.0,0.0
airplanecabin3.jpg,44422,,,,,,,
airplanecabin3.jpg,44532,,,,,,,
airplanecabin3.jpg,44533,,,,,,,
airplanecabin3.jpg,44579,0.0,0.0,0.0,1.0,0.0,0.0,0.0
airplanecabin5.jpg,43887,,,,,,,
airplanecabin5.jpg,43904,0.0,0.0,0.0,0.0,0.0,1.0,0.0
airplanecabin5.jpg,43947,,,,,,,
airplanecabin5.jpg,44178,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airplanecabin5.jpg,44238,,,,,,,
airplanecabin5.jpg,44321,0.0,0.0,1.0,1.0,0.0,0.0,0.0
airplanecabin5.jpg,44322,,,,,,,
airplanecabin5.jpg,44347,,,,,,,
airplanecabin5.jpg,44421,0.0,0.0,0.0,0.0,0.0,1.0,0.0
airplanecabin5.jpg,44464,0.0,0.0,0.0,0.0,0.0,0.0,1.0
airplanecabin5.jpg,44480,,,,,,,
airplanecabin5.jpg,44502,,,,,,,
airplanecabin5.jpg,44508,0.0,0.0,0.0,0.0,0.0,0.0,1.0
airplanecabin5.jpg,44576,,,,,,,
airplanecabin5.jpg,44582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airplanecabin5.jpg,44584,0.0,1.0,1.0,0.0,0.0,0.0,0.0
airplanecabin5.jpg,44606,,,,,,,
airplanecabin5.jpg,44612,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airplanecabin5.jpg,44614,,,,,,,
airportTerminal2.jpg,43899,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal2.jpg,43965,0.0,1.0,1.0,0.0,0.0,0.0,0.0
airportTerminal2.jpg,43992,,,,,,,
airportTerminal2.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal2.jpg,44076,0.0,0.0,0.0,0.0,1.0,0.0,0.0
airportTerminal2.jpg,44365,1.0,0.0,1.0,1.0,0.0,0.0,1.0
airportTerminal2.jpg,44368,0.0,1.0,1.0,0.0,1.0,0.0,0.0
airportTerminal2.jpg,44422,,,,,,,
airportTerminal2.jpg,44532,,,,,,,
airportTerminal2.jpg,44533,,,,,,,
airportTerminal2.jpg,44579,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal3.jpg,43887,,,,,,,
airportTerminal3.jpg,43904,0.0,0.0,0.0,0.0,1.0,0.0,1.0
airportTerminal3.jpg,43947,,,,,,,
airportTerminal3.jpg,44178,1.0,1.0,0.0,0.0,0.0,0.0,0.0
airportTerminal3.jpg,44238,,,,,,,
airportTerminal3.jpg,44321,0.0,1.0,0.0,0.0,0.0,0.0,0.0
airportTerminal3.jpg,44322,,,,,,,
airportTerminal3.jpg,44347,,,,,,,
airportTerminal3.jpg,44421,0.0,1.0,0.0,0.0,0.0,0.0,0.0
airportTerminal3.jpg,44464,0.0,1.0,1.0,1.0,0.0,0.0,0.0
airportTerminal3.jpg,44480,,,,,,,
airportTerminal3.jpg,44502,,,,,,,
airportTerminal3.jpg,44508,1.0,1.0,0.0,1.0,0.0,0.0,1.0
airportTerminal3.jpg,44576,,,,,,,
airportTerminal3.jpg,44582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal3.jpg,44584,0.0,1.0,1.0,0.0,1.0,1.0,0.0
airportTerminal3.jpg,44606,,,,,,,
airportTerminal3.jpg,44612,1.0,1.0,1.0,0.0,1.0,1.0,1.0
airportTerminal3.jpg,44614,,,,,,,
airportTerminal4.jpg,43851,,,,,,,
airportTerminal4.jpg,44020,1.0,0.0,0.0,0.0,0.0,1.0,0.0
airportTerminal4.jpg,44124,,,,,,,
airportTerminal4.jpg,44237,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airportTerminal4.jpg,44386,0.0,0.0,0.0,0.0,0.0,1.0,0.0
airportTerminal4.jpg,44406,0.0,0.0,0.0,0.0,0.0,1.0,0.0
airportTerminal4.jpg,44526,,,,,,,
airportTerminal6.jpg,43899,1.0,1.0,1.0,0.0,0.0,0.0,0.0
airportTerminal6.jpg,43965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal6.jpg,43992,,,,,,,
airportTerminal6.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal6.jpg,44076,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airportTerminal6.jpg,44365,1.0,1.0,1.0,1.0,1.0,1.0,1.0
airportTerminal6.jpg,44368,1.0,0.0,0.0,1.0,0.0,0.0,1.0
airportTerminal6.jpg,44422,,,,,,,
airportTerminal6.jpg,44532,,,,,,,
airportTerminal6.jpg,44533,,,,,,,
airportTerminal6.jpg,44579,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley1.jpg,43851,,,,,,,
alley1.jpg,44020,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alley1.jpg,44124,,,,,,,
alley1.jpg,44237,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alley1.jpg,44386,1.0,1.0,0.0,0.0,0.0,0.0,0.0
alley1.jpg,44406,1.0,0.0,0.0,0.0,1.0,0.0,0.0
alley1.jpg,44526,,,,,,,
alley2.jpg,43812,,,,,,,
alley2.jpg,43823,,,,,,,
alley2.jpg,43974,,,,,,,
alley2.jpg,44025,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alley2.jpg,44213,,,,,,,
alley2.jpg,44225,,,,,,,
alley2.jpg,44239,,,,,,,
alley2.jpg,44273,,,,,,,
alley2.jpg,44288,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alley2.jpg,44299,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alley2.jpg,44313,,,,,,,
alley2.jpg,44317,,,,,,,
alley2.jpg,44332,,,,,,,
alley2.jpg,44380,,,,,,,
alley2.jpg,44401,,,,,,,
alley2.jpg,44458,0.0,1.0,0.0,0.0,1.0,0.0,0.0
alley2.jpg,44474,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley2.jpg,44477,,,,,,,
alley2.jpg,44513,,,,,,,
alley2.jpg,44518,,,,,,,
alley2.jpg,44525,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley2.jpg,44545,,,,,,,
alley2.jpg,44580,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alley2.jpg,44585,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alley2.jpg,44607,,,,,,,
alley2.jpg,44609,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alley2.jpg,44613,0.0,1.0,0.0,0.0,1.0,0.0,0.0
alley3.jpg,43899,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley3.jpg,43965,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alley3.jpg,43992,,,,,,,
alley3.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley3.jpg,44076,0.0,0.0,0.0,1.0,0.0,0.0,0.0
alley3.jpg,44365,1.0,0.0,0.0,0.0,1.0,0.0,0.0
alley3.jpg,44368,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alley3.jpg,44422,,,,,,,
alley3.jpg,44532,,,,,,,
alley3.jpg,44533,,,,,,,
alley3.jpg,44579,1.0,0.0,0.0,1.0,0.0,0.0,1.0
alley4.jpg,43899,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley4.jpg,43965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley4.jpg,43992,,,,,,,
alley4.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley4.jpg,44076,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley4.jpg,44365,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley4.jpg,44368,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alley4.jpg,44422,,,,,,,
alley4.jpg,44532,,,,,,,
alley4.jpg,44533,,,,,,,
alley4.jpg,44579,1.0,0.0,0.0,0.0,0.0,0.0,0.0
amusement3.jpg,43899,1.0,1.0,0.0,0.0,0.0,0.0,0.0
amusement3.jpg,43965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
amusement3.jpg,43992,,,,,,,
amusement3.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
amusement3.jpg,44076,1.0,1.0,0.0,0.0,0.0,0.0,0.0
amusement3.jpg,44365,0.0,1.0,0.0,0.0,1.0,0.0,0.0
amusement3.jpg,44368,1.0,1.0,0.0,0.0,0.0,0.0,0.0
amusement3.jpg,44422,,,,,,,
amusement3.jpg,44532,,,,,,,
amusement3.jpg,44533,,,,,,,
amusement3.jpg,44579,1.0,0.0,0.0,1.0,0.0,0.0,0.0
apartmentBuilding1.jpg,43812,,,,,,,
apartmentBuilding1.jpg,43823,,,,,,,
apartmentBuilding1.jpg,43974,,,,,,,
apartmentBuilding1.jpg,44025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44213,,,,,,,
apartmentBuilding1.jpg,44225,,,,,,,
apartmentBuilding1.jpg,44239,,,,,,,
apartmentBuilding1.jpg,44273,,,,,,,
apartmentBuilding1.jpg,44288,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44299,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44313,,,,,,,
apartmentBuilding1.jpg,44317,,,,,,,
apartmentBuilding1.jpg,44332,,,,,,,
apartmentBuilding1.jpg,44380,,,,,,,
apartmentBuilding1.jpg,44401,,,,,,,
apartmentBuilding1.jpg,44458,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44474,1.0,0.0,0.0,1.0,0.0,0.0,1.0
apartmentBuilding1.jpg,44477,,,,,,,
apartmentBuilding1.jpg,44513,,,,,,,
apartmentBuilding1.jpg,44518,,,,,,,
apartmentBuilding1.jpg,44525,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44545,,,,,,,
apartmentBuilding1.jpg,44580,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44607,,,,,,,
apartmentBuilding1.jpg,44609,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding1.jpg,44613,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding2.jpg,43851,,,,,,,
apartmentBuilding2.jpg,44020,0.0,1.0,0.0,1.0,0.0,0.0,0.0
apartmentBuilding2.jpg,44124,,,,,,,
apartmentBuilding2.jpg,44237,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding2.jpg,44386,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding2.jpg,44406,1.0,0.0,0.0,0.0,0.0,1.0,0.0
apartmentBuilding2.jpg,44526,,,,,,,
apartmentBuilding3.jpg,43899,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding3.jpg,43965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding3.jpg,43992,,,,,,,
apartmentBuilding3.jpg,44033,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding3.jpg,44076,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding3.jpg,44365,1.0,0.0,0.0,1.0,0.0,0.0,1.0
apartmentBuilding3.jpg,44368,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding3.jpg,44422,,,,,,,
apartmentBuilding3.jpg,44532,,,,,,,
apartmentBuilding3.jpg,44533,,,,,,,
apartmentBuilding3.jpg,44579,0.0,1.0,1.0,0.0,0.0,0.0,0.0
apartmentBuilding4.jpg,43887,,,,,,,
apartmentBuilding4.jpg,43904,0.0,0.0,0.0,1.0,0.0,0.0,1.0
apartmentBuilding4.jpg,43947,,,,,,,
apartmentBuilding4.jpg,44178,1.0,1.0,1.0,0.0,0.0,0.0,0.0
apartmentBuilding4.jpg,44238,,,,,,,
apartmentBuilding4.jpg,44321,0.0,0.0,0.0,1.0,0.0,0.0,1.0
apartmentBuilding4.jpg,44322,,,,,,,
apartmentBuilding4.jpg,44347,,,,,,,
apartmentBuilding4.jpg,44421,0.0,1.0,1.0,0.0,0.0,0.0,0.0
apartmentBuilding4.jpg,44464,0.0,0.0,0.0,1.0,0.0,0.0,1.0
apartmentBuilding4.jpg,44480,,,,,,,
apartmentBuilding4.jpg,44502,,,,,,,
apartmentBuilding4.jpg,44508,1.0,1.0,1.0,1.0,0.0,0.0,1.0
apartmentBuilding4.jpg,44576,,,,,,,
apartmentBuilding4.jpg,44582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apartmentBuilding4.jpg,44584,0.0,1.0,1.0,0.0,0.0,0.0,0.0
apartmentBuilding4.jpg,44606,,,,,,,
apartmentBuilding4.jpg,44612,0.0,1.0,1.0,0.0,0.0,0.0,0.0
apartmentBuilding4.jpg,44614,,,,,,,
appleorchard2.jpg,43887,,,,,,,
appleorchard2.jpg,43904,0.0,0.0,0.0,0.0,0.0,1.0,0.0
appleorchard2.jpg,43947,,,,,,,
appleorchard2.jpg,44178,1.0,0.0,1.0,0.0,0.0,0.0,0.0
appleorchard2.jpg,44238,,,,,,,
appleorchard2.jpg,44321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appleorchard2.jpg,44322,,,,,,,
appleorchard2.jpg,44347,,,,,,,
appleorchard2.jpg,44421,0.0,0.0,1.0,0.0,0.0,0.0,0.0
appleorchard2.jpg,44464,0.0,0.0,0.0,0.0,0.0,0.0,1.0
appleorchard2.jpg,44480,,,,,,,
appleorchard2.jpg,44502,,,,,,,
appleorchard2.jpg,44508,0.0,0.0,1.0,0.0,0.0,1.0,0.0
appleorchard2.jpg,44576,,,,,,,
appleorchard2.jpg,44582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appleorchard2.jpg,44584,1.0,0.0,1.0,0.0,0.0,0.0,0.0
appleorchard2.jpg,44606,,,,,,,
appleorchard2.jpg,44612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appleorchard2.jpg,44614,,,,,,,
appleorchard3.jpg,43887,,,,,,,
appleorchard3.jpg,43904,0.0,0.0,0.0,0.0,1.0,0.0,0.0
appleorchard3.jpg,43947,,,,,,,
appleorchard3.jpg,44178,0.0,0.0,0.0,0.0,1.0,0.0,0.0
