presentedImage,participant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
ATM1.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATM4.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HorseRaceTrack.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVinside2.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShowJumping7.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplanecabin1.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplanecabin3.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplanecabin5.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airportTerminal2.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airportTerminal3.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airportTerminal4.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airportTerminal6.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alley1.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alley2.jpg,46617,-0.4639672,-0.4639672,-0.4639672,-0.4639672,-0.4639672,-0.4639672,-0.4639672,-0.0796999,0.7315311,1.457369,2.994439,-0.4639672,-0.4639672,-0.4639672,-0.4639672,,,,,,,,,,,,,,,,,,,,,
alley3.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alley4.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amusement3.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartmentBuilding1.jpg,46617,-1.140665,-1.140665,0.1093788,1.515678,0.4218897,-0.1250044,-0.1250044,-0.4375153,-0.1250044,-0.1250044,0.343762,0.8125283,2.296955,-1.140665,-1.140665,,,,,,,,,,,,,,,,,,,,,
apartmentBuilding2.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartmentBuilding3.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartmentBuilding4.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appleorchard2.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appleorchard3.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appleorchard4.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applestore1.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applestore2.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applestore4.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applestore6.jpg,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
